epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2694.41,2.38775,1.42965,0.97513,0.49629,0.22599,0.22826,0.09454,2.17301,1.3616,0.96722,0.00995941,0.00995941,0.00995941
43,2757.19,2.37388,1.42495,0.97408,0.66173,0.22547,0.2291,0.09473,2.17043,1.36415,0.96629,0.00995842,0.00995842,0.00995842
44,2820.9,2.38034,1.42208,0.97327,0.47517,0.23138,0.2336,0.09767,2.15596,1.3486,0.96479,0.00995743,0.00995743,0.00995743
45,2884.15,2.37784,1.41769,0.97214,0.47558,0.22779,0.23326,0.09675,2.1545,1.34375,0.96331,0.00995644,0.00995644,0.00995644
46,2947.57,2.36011,1.40148,0.97126,0.53922,0.22396,0.23067,0.09553,2.1495,1.35104,0.96427,0.00995545,0.00995545,0.00995545
47,3010.68,2.36591,1.42511,0.97381,0.46154,0.23027,0.23487,0.097,2.14793,1.33789,0.96456,0.00995446,0.00995446,0.00995446
48,3073.43,2.35081,1.40439,0.97245,0.58466,0.23119,0.23527,0.09794,2.14343,1.33023,0.96419,0.00995347,0.00995347,0.00995347
49,3137.67,2.3634,1.40607,0.97124,0.46247,0.23327,0.23431,0.09801,2.14223,1.34317,0.96229,0.00995248,0.00995248,0.00995248
50,3201.05,2.37591,1.41945,0.97498,0.4693,0.23215,0.23535,0.09747,2.13483,1.33417,0.96188,0.00995149,0.00995149,0.00995149
51,3263.46,2.35677,1.39826,0.97112,0.58277,0.23117,0.23413,0.0967,2.13157,1.33383,0.96198,0.0099505,0.0099505,0.0099505
52,3326.37,2.35221,1.39925,0.97216,0.56855,0.23314,0.23611,0.09766,2.12717,1.32302,0.96022,0.00994951,0.00994951,0.00994951
53,3388.65,2.35875,1.41159,0.97466,0.46542,0.23338,0.2374,0.09856,2.12929,1.32587,0.9602,0.00994852,0.00994852,0.00994852
54,3452.52,2.34736,1.38016,0.97066,0.57178,0.2352,0.23874,0.09807,2.12854,1.31614,0.96007,0.00994753,0.00994753,0.00994753
55,3515.28,2.35239,1.39312,0.9706,0.59261,0.23449,0.24022,0.0968,2.13231,1.31713,0.95936,0.00994654,0.00994654,0.00994654
56,3578.9,2.34729,1.39437,0.97145,0.56622,0.23975,0.24048,0.09724,2.14153,1.31821,0.96048,0.00994555,0.00994555,0.00994555
57,3641.84,2.34519,1.38775,0.96967,0.4498,0.24237,0.24273,0.09726,2.13718,1.31522,0.96046,0.00994456,0.00994456,0.00994456
58,3704.85,2.33941,1.38382,0.96831,0.44754,0.24856,0.24407,0.09874,2.12713,1.30582,0.95942,0.00994357,0.00994357,0.00994357
59,3767.62,2.3404,1.38688,0.9719,0.43715,0.24836,0.24577,0.10115,2.1199,1.30172,0.95994,0.00994258,0.00994258,0.00994258
60,3830.85,2.34113,1.3783,0.96788,0.42603,0.24858,0.24729,0.10201,2.11298,1.29843,0.9586,0.00994159,0.00994159,0.00994159
61,3893.73,2.34187,1.39153,0.96621,0.45579,0.23905,0.24755,0.10177,2.10908,1.29467,0.95778,0.0099406,0.0099406,0.0099406
62,3956.54,2.33953,1.37355,0.97109,0.44154,0.24754,0.25044,0.10309,2.11183,1.2915,0.95806,0.00993961,0.00993961,0.00993961
63,4020.27,2.335,1.37743,0.96863,0.45964,0.24947,0.25341,0.1049,2.11089,1.29079,0.95824,0.00993862,0.00993862,0.00993862
64,4083.35,2.32955,1.36456,0.96998,0.45546,0.2517,0.26055,0.10904,2.10781,1.29098,0.95762,0.00993763,0.00993763,0.00993763
65,4146.87,2.32634,1.36792,0.96944,0.42529,0.2625,0.25407,0.10601,2.10833,1.28901,0.95712,0.00993664,0.00993664,0.00993664
66,4209.97,2.3346,1.36881,0.96975,0.45481,0.26339,0.25478,0.10598,2.10805,1.28769,0.95712,0.00993565,0.00993565,0.00993565
67,4272.91,2.34153,1.37736,0.96619,0.60156,0.26682,0.26166,0.10891,2.10855,1.28774,0.95721,0.00993466,0.00993466,0.00993466
68,4336.04,2.33521,1.35897,0.96578,0.4853,0.26685,0.26043,0.10899,2.10603,1.28378,0.95691,0.00993367,0.00993367,0.00993367
69,4399.73,2.3455,1.36927,0.96667,0.61246,0.26701,0.26181,0.10897,2.10357,1.28239,0.95599,0.00993268,0.00993268,0.00993268
70,4463.55,2.31734,1.35918,0.9665,0.48404,0.26436,0.26239,0.10863,2.10466,1.28123,0.95629,0.00993169,0.00993169,0.00993169
71,4527.17,2.33134,1.37183,0.966,0.48803,0.26306,0.26399,0.10836,2.10678,1.28255,0.95658,0.0099307,0.0099307,0.0099307
72,4590.3,2.33027,1.36822,0.96685,0.47738,0.26581,0.26481,0.10925,2.10347,1.28049,0.95606,0.00992971,0.00992971,0.00992971
73,4653.94,2.33225,1.36085,0.96895,0.60063,0.2685,0.26324,0.10963,2.1,1.27805,0.95537,0.00992872,0.00992872,0.00992872
74,4716.78,2.322,1.36309,0.96693,0.60414,0.26713,0.26437,0.11077,2.09382,1.27414,0.95466,0.00992773,0.00992773,0.00992773
75,4779.75,2.31962,1.35169,0.96783,0.61575,0.26531,0.26577,0.11102,2.09399,1.27318,0.95447,0.00992674,0.00992674,0.00992674
76,4843.58,2.31447,1.35708,0.9664,0.61223,0.26723,0.26633,0.11098,2.09377,1.27202,0.95402,0.00992575,0.00992575,0.00992575
77,4906.64,2.31949,1.35615,0.96439,0.59674,0.27285,0.26787,0.11204,2.09163,1.27023,0.95445,0.00992476,0.00992476,0.00992476
78,4970.05,2.33221,1.36002,0.96459,0.60375,0.27325,0.26753,0.11237,2.09031,1.26912,0.95437,0.00992377,0.00992377,0.00992377
79,5033.57,2.30435,1.35074,0.96555,0.6015,0.27322,0.26777,0.11256,2.08843,1.26763,0.95411,0.00992278,0.00992278,0.00992278
80,5096.58,2.30409,1.34129,0.9647,0.60116,0.27661,0.26775,0.1125,2.086,1.26591,0.95358,0.00992179,0.00992179,0.00992179
81,5159.1,2.31397,1.34278,0.96308,0.60432,0.27676,0.26895,0.11273,2.08543,1.26492,0.95357,0.0099208,0.0099208,0.0099208
82,5221.93,2.31031,1.33204,0.96274,0.60636,0.27949,0.26967,0.11291,2.08377,1.26284,0.95354,0.00991981,0.00991981,0.00991981
83,5284.55,2.31112,1.35106,0.96439,0.60384,0.27986,0.26931,0.11283,2.08231,1.26123,0.95343,0.00991882,0.00991882,0.00991882
84,5346.18,2.30086,1.339,0.96308,0.60775,0.27917,0.27151,0.11324,2.08108,1.26043,0.95346,0.00991783,0.00991783,0.00991783
85,5409.04,2.30531,1.34043,0.9609,0.61492,0.27989,0.27323,0.11383,2.07978,1.2605,0.95326,0.00991684,0.00991684,0.00991684
86,5471.98,2.3024,1.33315,0.96642,0.61217,0.28138,0.27291,0.11401,2.07948,1.25984,0.95291,0.00991585,0.00991585,0.00991585
