epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3763.79,2.38281,1.43015,0.9745,0.46705,0.22691,0.23076,0.09578,2.15315,1.35196,0.96417,0.00995941,0.00995941,0.00995941
43,3852.25,2.36643,1.41999,0.97355,0.50255,0.22842,0.23166,0.09653,2.15144,1.34057,0.96318,0.00995842,0.00995842,0.00995842
44,3941.31,2.37485,1.41411,0.97178,0.47573,0.22807,0.23247,0.09704,2.15091,1.34185,0.96237,0.00995743,0.00995743,0.00995743
45,4030.57,2.37359,1.41172,0.97094,0.48078,0.22597,0.23279,0.09542,2.14812,1.34012,0.96134,0.00995644,0.00995644,0.00995644
46,4119.87,2.35598,1.39187,0.97093,0.44784,0.22879,0.23486,0.09741,2.14124,1.33268,0.96032,0.00995545,0.00995545,0.00995545
47,4209.43,2.35988,1.41516,0.97193,0.46194,0.23298,0.23757,0.09868,2.14237,1.33266,0.96091,0.00995446,0.00995446,0.00995446
48,4298.56,2.34743,1.3977,0.97103,0.45061,0.23112,0.2383,0.09876,2.14024,1.32449,0.96046,0.00995347,0.00995347,0.00995347
49,4387.89,2.35699,1.4034,0.96998,0.44805,0.23383,0.23729,0.10043,2.13901,1.32941,0.95974,0.00995248,0.00995248,0.00995248
50,4477.8,2.36705,1.41138,0.97439,0.43417,0.2313,0.23733,0.09987,2.1308,1.32013,0.95996,0.00995149,0.00995149,0.00995149
51,4566.74,2.35097,1.39565,0.97023,0.43342,0.23301,0.23839,0.09927,2.12601,1.3204,0.96032,0.0099505,0.0099505,0.0099505
52,4655.37,2.34432,1.38492,0.97052,0.57447,0.23632,0.23853,0.09997,2.11407,1.31387,0.95742,0.00994951,0.00994951,0.00994951
53,4744.01,2.35066,1.40689,0.97364,0.5646,0.23636,0.2422,0.1015,2.10908,1.30428,0.95675,0.00994852,0.00994852,0.00994852
54,4833.46,2.34628,1.37405,0.97016,0.57237,0.2344,0.24076,0.10058,2.114,1.30783,0.95676,0.00994753,0.00994753,0.00994753
55,4922.51,2.34981,1.38931,0.97012,0.44928,0.23747,0.24271,0.09947,2.1165,1.30992,0.95593,0.00994654,0.00994654,0.00994654
56,5011.33,2.33648,1.38434,0.96989,0.43283,0.2443,0.24433,0.10065,2.11997,1.30428,0.95579,0.00994555,0.00994555,0.00994555
57,5100.5,2.34257,1.38397,0.96807,0.57094,0.24409,0.24438,0.1011,2.12034,1.30432,0.95612,0.00994456,0.00994456,0.00994456
58,5189.42,2.33681,1.38076,0.96763,0.34044,0.25046,0.24652,0.10276,2.11681,1.30088,0.95672,0.00994357,0.00994357,0.00994357
59,5278.55,2.33742,1.37844,0.9703,0.51363,0.24224,0.24664,0.10243,2.11584,1.29526,0.95803,0.00994258,0.00994258,0.00994258
60,5367.61,2.3349,1.37552,0.96628,0.33631,0.24399,0.24696,0.10256,2.11222,1.29537,0.95805,0.00994159,0.00994159,0.00994159
61,5456.59,2.33771,1.37847,0.96575,0.45987,0.24881,0.24845,0.10295,2.10915,1.28809,0.95729,0.0099406,0.0099406,0.0099406
62,5545.56,2.33495,1.36969,0.96946,0.5619,0.25222,0.25164,0.10426,2.10794,1.28577,0.95625,0.00993961,0.00993961,0.00993961
63,5634.53,2.33526,1.3746,0.96896,0.43997,0.25023,0.25243,0.10629,2.10253,1.28341,0.95545,0.00993862,0.00993862,0.00993862
64,5723.33,2.32303,1.35427,0.96817,0.43638,0.25771,0.25277,0.10741,2.09794,1.28159,0.95469,0.00993763,0.00993763,0.00993763
65,5812.6,2.32001,1.36497,0.96743,0.47053,0.25869,0.25396,0.10738,2.1036,1.28422,0.95515,0.00993664,0.00993664,0.00993664
66,5901.95,2.33087,1.3623,0.968,0.49651,0.25128,0.25413,0.10774,2.09848,1.27982,0.95445,0.00993565,0.00993565,0.00993565
67,5990.87,2.34064,1.36799,0.96511,0.46697,0.25724,0.25492,0.10749,2.09547,1.28103,0.95376,0.00993466,0.00993466,0.00993466
68,6079.3,2.32685,1.34866,0.96371,0.48135,0.25429,0.25488,0.10746,2.09545,1.27623,0.95387,0.00993367,0.00993367,0.00993367
69,6169.05,2.34365,1.36129,0.9661,0.48782,0.25854,0.25758,0.10825,2.09646,1.27479,0.95514,0.00993268,0.00993268,0.00993268
70,6258.47,2.31246,1.3537,0.96605,0.46714,0.26471,0.25866,0.1081,2.09374,1.27429,0.95486,0.00993169,0.00993169,0.00993169
