epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3751.19,2.36452,1.39809,0.97175,0.32048,0.25018,0.24411,0.10293,2.12369,1.3205,0.96193,0.00995941,0.00995941,0.00995941
43,3841.2,2.34413,1.39007,0.97077,0.33073,0.2539,0.24598,0.1038,2.11702,1.31037,0.96163,0.00995842,0.00995842,0.00995842
44,3945.33,2.35425,1.38756,0.96935,0.33801,0.25099,0.24494,0.10426,2.12393,1.3074,0.96169,0.00995743,0.00995743,0.00995743
45,4036.09,2.35898,1.38659,0.96976,0.36591,0.24568,0.24635,0.10325,2.11533,1.30885,0.95936,0.00995644,0.00995644,0.00995644
46,4123.25,2.33865,1.37082,0.96852,0.38021,0.24264,0.24797,0.10348,2.11719,1.31154,0.96057,0.00995545,0.00995545,0.00995545
47,4210.4,2.3458,1.3861,0.97122,0.36772,0.24502,0.25108,0.10627,2.11094,1.30546,0.95965,0.00995446,0.00995446,0.00995446
48,4299.23,2.32909,1.37117,0.96956,0.3626,0.25575,0.25317,0.10712,2.10824,1.29268,0.96069,0.00995347,0.00995347,0.00995347
49,4388,2.34283,1.37199,0.96809,0.38279,0.25531,0.25535,0.10818,2.11186,1.30091,0.96092,0.00995248,0.00995248,0.00995248
50,4475,2.34677,1.3859,0.97144,0.4888,0.25799,0.25494,0.10809,2.10935,1.29484,0.9595,0.00995149,0.00995149,0.00995149
51,4562.43,2.33843,1.36867,0.96899,0.48613,0.25566,0.2532,0.10752,2.10448,1.29153,0.95991,0.0099505,0.0099505,0.0099505
52,4650.36,2.32871,1.36484,0.96933,0.36373,0.25608,0.25365,0.10829,2.09776,1.28959,0.95746,0.00994951,0.00994951,0.00994951
53,4738.22,2.33577,1.37755,0.97128,0.50701,0.26139,0.25906,0.10978,2.09756,1.29215,0.95776,0.00994852,0.00994852,0.00994852
54,4825.42,2.32781,1.35316,0.96784,0.60545,0.2596,0.25635,0.11028,2.09578,1.28561,0.95821,0.00994753,0.00994753,0.00994753
55,4912.68,2.33269,1.36532,0.96842,0.61828,0.25907,0.25829,0.10994,2.09211,1.28226,0.95827,0.00994654,0.00994654,0.00994654
56,4999.03,2.32566,1.36209,0.96902,0.61248,0.26415,0.26062,0.11045,2.09248,1.27565,0.95679,0.00994555,0.00994555,0.00994555
57,5085.39,2.32448,1.36567,0.96617,0.51511,0.26362,0.26358,0.11102,2.08357,1.26939,0.95523,0.00994456,0.00994456,0.00994456
58,5172.4,2.32506,1.36099,0.9669,0.62485,0.25784,0.26045,0.11015,2.08349,1.2726,0.95562,0.00994357,0.00994357,0.00994357
59,5261.26,2.31871,1.35325,0.96781,0.60887,0.26993,0.26121,0.11047,2.08813,1.26922,0.95543,0.00994258,0.00994258,0.00994258
60,5346.98,2.31757,1.35161,0.9643,0.65627,0.2599,0.26693,0.1125,2.08838,1.26994,0.95591,0.00994159,0.00994159,0.00994159
61,5441.9,2.31848,1.35912,0.96342,0.64243,0.2698,0.26828,0.11361,2.0839,1.26748,0.95504,0.0099406,0.0099406,0.0099406
62,5533.23,2.31836,1.35086,0.96791,0.6593,0.26272,0.27077,0.11431,2.08088,1.2669,0.95432,0.00993961,0.00993961,0.00993961
63,5625.37,2.31727,1.34974,0.96721,0.6524,0.26455,0.27116,0.11421,2.07952,1.26352,0.95391,0.00993862,0.00993862,0.00993862
64,5714.36,2.30669,1.33127,0.96637,0.6539,0.26551,0.27109,0.11425,2.08007,1.26167,0.95423,0.00993763,0.00993763,0.00993763
65,5799.99,2.30186,1.34197,0.96465,0.63878,0.26768,0.27136,0.11497,2.08029,1.26235,0.95427,0.00993664,0.00993664,0.00993664
66,5885.77,2.31143,1.339,0.96637,0.61851,0.27195,0.2713,0.11466,2.0797,1.26066,0.95394,0.00993565,0.00993565,0.00993565
67,5971.91,2.31941,1.34568,0.9629,0.6097,0.27408,0.27007,0.11523,2.07948,1.26012,0.95355,0.00993466,0.00993466,0.00993466
68,6057.67,2.31365,1.33279,0.96223,0.63031,0.27104,0.2726,0.11564,2.07408,1.25551,0.95246,0.00993367,0.00993367,0.00993367
69,6145.67,2.32805,1.33895,0.96373,0.62945,0.27325,0.2746,0.11644,2.07347,1.25304,0.95231,0.00993268,0.00993268,0.00993268
70,6233.48,2.29462,1.32867,0.96415,0.61645,0.28027,0.27577,0.11662,2.07172,1.2494,0.95252,0.00993169,0.00993169,0.00993169
71,6321.54,2.31146,1.34446,0.96369,0.62957,0.28272,0.27721,0.11705,2.07027,1.2495,0.95265,0.0099307,0.0099307,0.0099307
72,6408.85,2.30892,1.34313,0.96409,0.6395,0.2846,0.27793,0.117,2.06748,1.24914,0.95257,0.00992971,0.00992971,0.00992971
73,6496.08,2.31052,1.3357,0.96518,0.63292,0.28275,0.27724,0.1176,2.06623,1.24865,0.9527,0.00992872,0.00992872,0.00992872
74,6583.23,2.30007,1.33449,0.96396,0.64138,0.28445,0.27964,0.11823,2.06341,1.24631,0.95204,0.00992773,0.00992773,0.00992773
75,6670.27,2.30038,1.32626,0.96531,0.64281,0.28438,0.28076,0.11854,2.06165,1.24631,0.95184,0.00992674,0.00992674,0.00992674
76,6756.77,2.29979,1.33064,0.96462,0.63565,0.28375,0.28055,0.11831,2.05992,1.2459,0.95168,0.00992575,0.00992575,0.00992575
77,6842.16,2.3028,1.32991,0.96187,0.63014,0.28512,0.28019,0.11911,2.05908,1.24307,0.95154,0.00992476,0.00992476,0.00992476
78,6928.09,2.31462,1.33191,0.96266,0.64369,0.28468,0.28221,0.11935,2.05818,1.24333,0.95128,0.00992377,0.00992377,0.00992377
79,7015.19,2.28623,1.31892,0.96264,0.64528,0.2863,0.283,0.11971,2.0581,1.24185,0.95101,0.00992278,0.00992278,0.00992278
80,7101.34,2.28685,1.31618,0.96123,0.64933,0.28265,0.28283,0.11948,2.05655,1.24166,0.95114,0.00992179,0.00992179,0.00992179
81,7189.27,2.29142,1.31146,0.95961,0.64275,0.2858,0.2822,0.11951,2.05609,1.24042,0.95099,0.0099208,0.0099208,0.0099208
82,7275.28,2.29109,1.31156,0.95995,0.64035,0.2864,0.28219,0.12004,2.0563,1.23974,0.95113,0.00991981,0.00991981,0.00991981
83,7361.1,2.28792,1.32154,0.96095,0.64593,0.28745,0.28669,0.12095,2.05529,1.2376,0.95085,0.00991882,0.00991882,0.00991882
84,7447.69,2.2853,1.31399,0.96098,0.64567,0.29135,0.2873,0.12166,2.05354,1.23567,0.95042,0.00991783,0.00991783,0.00991783
85,7533.09,2.28747,1.31399,0.95906,0.64913,0.29316,0.2886,0.1229,2.05193,1.23482,0.95029,0.00991684,0.00991684,0.00991684
86,7619.84,2.28416,1.30765,0.96387,0.6461,0.29487,0.28985,0.12301,2.05127,1.23432,0.95029,0.00991585,0.00991585,0.00991585
87,7706.56,2.27803,1.30303,0.962,0.65817,0.29402,0.29006,0.12323,2.05026,1.23306,0.95015,0.00991486,0.00991486,0.00991486
88,7792.25,2.282,1.31216,0.96125,0.6569,0.29272,0.29039,0.12341,2.04952,1.23182,0.94988,0.00991387,0.00991387,0.00991387
89,7881.82,2.27525,1.30145,0.96192,0.65355,0.2944,0.29125,0.12376,2.04833,1.23071,0.94962,0.00991288,0.00991288,0.00991288
90,7968.68,2.27233,1.28397,0.95514,0.65421,0.29607,0.29231,0.12417,2.04757,1.22975,0.94951,0.00991189,0.00991189,0.00991189
91,8054.62,2.28583,1.3036,0.96013,0.66506,0.29638,0.29243,0.12435,2.04703,1.22934,0.94926,0.0099109,0.0099109,0.0099109
92,8141.61,2.27041,1.29076,0.96002,0.66237,0.29487,0.29287,0.12466,2.0466,1.22996,0.94883,0.00990991,0.00990991,0.00990991
93,8228.11,2.27691,1.29122,0.96454,0.65139,0.29692,0.29356,0.12475,2.04585,1.22917,0.94872,0.00990892,0.00990892,0.00990892
94,8314.22,2.27406,1.30578,0.95944,0.65654,0.29628,0.29372,0.12497,2.04546,1.22854,0.94853,0.00990793,0.00990793,0.00990793
95,8400.69,2.27091,1.3059,0.95981,0.66915,0.29324,0.29417,0.1252,2.04469,1.2289,0.94848,0.00990694,0.00990694,0.00990694
