epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3872.51,2.40663,1.50415,0.98155,0.54049,0.22154,0.22507,0.09458,2.17286,1.40395,0.96831,0.00995941,0.00995941,0.00995941
43,3964.31,2.39263,1.50318,0.97902,0.53207,0.22458,0.22726,0.0957,2.17658,1.39628,0.96769,0.00995842,0.00995842,0.00995842
44,4057.66,2.41246,1.51185,0.97944,0.49833,0.22574,0.2298,0.09655,2.17203,1.40258,0.96621,0.00995743,0.00995743,0.00995743
45,4150.31,2.40863,1.48853,0.97333,0.5348,0.22596,0.2295,0.09658,2.17055,1.39841,0.96882,0.00995644,0.00995644,0.00995644
46,4241.97,2.40345,1.4884,0.97835,0.51109,0.22871,0.23024,0.09626,2.16308,1.39387,0.96581,0.00995545,0.00995545,0.00995545
47,4334.2,2.39732,1.47548,0.97999,0.38615,0.23045,0.2319,0.09572,2.16354,1.38722,0.96516,0.00995446,0.00995446,0.00995446
48,4425.98,2.3875,1.48264,0.97708,0.53958,0.23069,0.23425,0.09929,2.15043,1.37286,0.96456,0.00995347,0.00995347,0.00995347
49,4518.44,2.38244,1.48074,0.97761,0.4962,0.23037,0.23389,0.09785,2.15435,1.37822,0.96352,0.00995248,0.00995248,0.00995248
50,4610.38,2.39414,1.4941,0.98045,0.50894,0.23102,0.24369,0.09837,2.15147,1.37914,0.96308,0.00995149,0.00995149,0.00995149
51,4703,2.39815,1.48255,0.97548,0.49718,0.22901,0.25238,0.09959,2.14815,1.37829,0.96219,0.0099505,0.0099505,0.0099505
52,4794.33,2.38087,1.46466,0.97526,0.4913,0.23346,0.23593,0.09838,2.15112,1.37159,0.96419,0.00994951,0.00994951,0.00994951
53,4886.23,2.37599,1.45615,0.97568,0.47555,0.23362,0.23734,0.09982,2.15024,1.37657,0.96207,0.00994852,0.00994852,0.00994852
54,4978.57,2.38442,1.47638,0.97688,0.49183,0.23462,0.23901,0.10023,2.15294,1.37112,0.96259,0.00994753,0.00994753,0.00994753
55,5070.73,2.3895,1.47084,0.9781,0.48348,0.23005,0.26184,0.1027,2.1493,1.36369,0.9621,0.00994654,0.00994654,0.00994654
56,5162.77,2.37914,1.4575,0.97314,0.48056,0.23829,0.25026,0.10223,2.1418,1.35612,0.96016,0.00994555,0.00994555,0.00994555
57,5254.99,2.37675,1.45846,0.97506,0.46971,0.2384,0.24255,0.10251,2.14117,1.35387,0.96024,0.00994456,0.00994456,0.00994456
58,5346.16,2.37115,1.45175,0.97342,0.49489,0.23618,0.24607,0.10273,2.1388,1.35545,0.95931,0.00994357,0.00994357,0.00994357
59,5438.24,2.37188,1.44892,0.97578,0.49942,0.23858,0.24453,0.102,2.13879,1.35354,0.95903,0.00994258,0.00994258,0.00994258
60,5530.61,2.38741,1.46287,0.97193,0.45619,0.25354,0.24724,0.10234,2.13609,1.35361,0.95896,0.00994159,0.00994159,0.00994159
61,5622.68,2.37342,1.4624,0.97399,0.46622,0.25511,0.24601,0.10261,2.13468,1.35202,0.95883,0.0099406,0.0099406,0.0099406
62,5714.01,2.35649,1.43615,0.97111,0.49045,0.25517,0.24815,0.104,2.13222,1.3453,0.9586,0.00993961,0.00993961,0.00993961
63,5805.64,2.35951,1.44053,0.97339,0.49244,0.25817,0.25017,0.10461,2.12858,1.34254,0.95871,0.00993862,0.00993862,0.00993862
64,5896.86,2.35318,1.43374,0.97315,0.45411,0.25618,0.24984,0.10429,2.12564,1.34275,0.95837,0.00993763,0.00993763,0.00993763
65,5988.81,2.35686,1.42166,0.97208,0.46512,0.26317,0.25069,0.10483,2.12087,1.33942,0.95769,0.00993664,0.00993664,0.00993664
66,6081.32,2.35074,1.43112,0.9665,0.46786,0.25654,0.25206,0.10541,2.11714,1.33909,0.95743,0.00993565,0.00993565,0.00993565
67,6173.11,2.35582,1.44648,0.97343,0.47856,0.25626,0.25058,0.10562,2.11202,1.3371,0.95706,0.00993466,0.00993466,0.00993466
68,6264.51,2.35841,1.42737,0.96867,0.46315,0.25295,0.25143,0.10542,2.11141,1.33522,0.95698,0.00993367,0.00993367,0.00993367
69,6357.05,2.35303,1.42875,0.96717,0.47093,0.25306,0.25252,0.10565,2.11011,1.33246,0.95625,0.00993268,0.00993268,0.00993268
70,6448.34,2.34366,1.43257,0.97288,0.45451,0.25633,0.25339,0.10592,2.10662,1.32885,0.95579,0.00993169,0.00993169,0.00993169
71,6539.6,2.33922,1.41456,0.96685,0.46164,0.26058,0.25409,0.10647,2.10697,1.32879,0.9556,0.0099307,0.0099307,0.0099307
72,6632.31,2.36099,1.41931,0.97559,0.45967,0.26631,0.25565,0.10707,2.10732,1.32831,0.9558,0.00992971,0.00992971,0.00992971
73,6724.62,2.3454,1.41593,0.96904,0.45826,0.26726,0.2564,0.10719,2.10502,1.3264,0.95548,0.00992872,0.00992872,0.00992872
74,6816.37,2.34143,1.43057,0.96849,0.46277,0.26473,0.256,0.10693,2.10484,1.32474,0.95538,0.00992773,0.00992773,0.00992773
75,6908.62,2.34758,1.4211,0.97233,0.47407,0.26351,0.25756,0.10702,2.1049,1.32007,0.95539,0.00992674,0.00992674,0.00992674
76,7000.94,2.333,1.41088,0.96913,0.47223,0.26514,0.25824,0.1076,2.10216,1.31813,0.95542,0.00992575,0.00992575,0.00992575
77,7094.07,2.35473,1.4186,0.96732,0.48194,0.26418,0.25997,0.10843,2.10042,1.31747,0.95534,0.00992476,0.00992476,0.00992476
78,7186.57,2.34717,1.40434,0.96742,0.60529,0.26397,0.26073,0.10888,2.09897,1.31502,0.95499,0.00992377,0.00992377,0.00992377
79,7278.8,2.34111,1.40814,0.96946,0.60196,0.26803,0.26218,0.10899,2.09764,1.31475,0.95468,0.00992278,0.00992278,0.00992278
80,7370.52,2.3343,1.40372,0.96624,0.59856,0.26913,0.26171,0.10889,2.09648,1.31339,0.95457,0.00992179,0.00992179,0.00992179
81,7462.66,2.34269,1.40916,0.96824,0.61595,0.26605,0.26288,0.10931,2.09476,1.31308,0.95405,0.0099208,0.0099208,0.0099208
82,7555.02,2.33186,1.4116,0.96826,0.62821,0.2685,0.26438,0.10981,2.09372,1.31198,0.95384,0.00991981,0.00991981,0.00991981
83,7647.78,2.33593,1.40579,0.9699,0.60972,0.27193,0.26324,0.10977,2.09159,1.31122,0.9536,0.00991882,0.00991882,0.00991882
84,7739.67,2.331,1.414,0.96992,0.60805,0.26802,0.26409,0.11032,2.0887,1.30905,0.95313,0.00991783,0.00991783,0.00991783
85,7831.88,2.33305,1.39611,0.96675,0.61998,0.26849,0.26762,0.11149,2.08818,1.30847,0.95288,0.00991684,0.00991684,0.00991684
86,7923.96,2.33219,1.40142,0.9662,0.62003,0.26679,0.26684,0.11156,2.08739,1.30801,0.95275,0.00991585,0.00991585,0.00991585
87,8015.77,2.32741,1.40863,0.96568,0.60877,0.27414,0.26723,0.11166,2.08737,1.30657,0.95275,0.00991486,0.00991486,0.00991486
88,8107,2.31428,1.39887,0.96417,0.60928,0.27537,0.26833,0.11201,2.08739,1.30557,0.95271,0.00991387,0.00991387,0.00991387
89,8199.51,2.33747,1.40271,0.96708,0.60781,0.27782,0.26908,0.11247,2.0865,1.30455,0.95256,0.00991288,0.00991288,0.00991288
90,8291.7,2.33133,1.39672,0.96667,0.61661,0.27652,0.26871,0.11209,2.08487,1.30349,0.95237,0.00991189,0.00991189,0.00991189
91,8384.33,2.33492,1.39567,0.96853,0.6145,0.27758,0.2695,0.11227,2.08401,1.30273,0.95231,0.0099109,0.0099109,0.0099109
92,8477.12,2.32172,1.37899,0.9637,0.60899,0.27941,0.26886,0.11252,2.08366,1.30194,0.95227,0.00990991,0.00990991,0.00990991
93,8569.03,2.31978,1.39557,0.96413,0.61903,0.27673,0.26902,0.1127,2.08361,1.30091,0.95212,0.00990892,0.00990892,0.00990892
94,8661.04,2.3086,1.36737,0.96702,0.61512,0.27988,0.26912,0.11283,2.08244,1.2998,0.95195,0.00990793,0.00990793,0.00990793
95,8753.84,2.33052,1.3879,0.96581,0.60838,0.27972,0.26882,0.11302,2.0815,1.29911,0.95183,0.00990694,0.00990694,0.00990694
96,8846.13,2.3204,1.3826,0.96696,0.60923,0.27912,0.26946,0.11326,2.08064,1.29915,0.95184,0.00990595,0.00990595,0.00990595
97,8937.39,2.3185,1.3868,0.96575,0.61671,0.2778,0.27045,0.11334,2.08007,1.2984,0.95172,0.00990496,0.00990496,0.00990496
98,9029.7,2.32461,1.38954,0.96386,0.61991,0.27615,0.27053,0.11369,2.07879,1.29751,0.9516,0.00990397,0.00990397,0.00990397
99,9121.44,2.31203,1.38213,0.96439,0.62045,0.27619,0.2713,0.11388,2.07809,1.29661,0.95155,0.00990298,0.00990298,0.00990298
100,9214.36,2.31645,1.36451,0.96316,0.6233,0.27986,0.27306,0.11424,2.07689,1.29549,0.95138,0.00990199,0.00990199,0.00990199
