epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2830.16,2.3126,1.37858,0.96429,0.688,0.24431,0.2543,0.10956,2.08512,1.30302,0.95552,0.00995941,0.00995941,0.00995941
43,2896.26,2.28978,1.36876,0.96263,0.65698,0.24741,0.25465,0.10976,2.08736,1.29492,0.95551,0.00995842,0.00995842,0.00995842
44,2963.02,2.30487,1.36923,0.96262,0.64299,0.25699,0.25996,0.11406,2.08006,1.29351,0.95457,0.00995743,0.00995743,0.00995743
45,3029.8,2.30519,1.36692,0.96215,0.65524,0.25816,0.26229,0.11304,2.07309,1.29237,0.95242,0.00995644,0.00995644,0.00995644
46,3095.79,2.28756,1.34468,0.96205,0.6597,0.25881,0.26177,0.11458,2.06505,1.29344,0.95107,0.00995545,0.00995545,0.00995545
47,3161.63,2.29053,1.36627,0.9633,0.62472,0.27428,0.26826,0.1163,2.07018,1.28654,0.95276,0.00995446,0.00995446,0.00995446
48,3227.67,2.27539,1.34796,0.96248,0.6429,0.27145,0.26736,0.11649,2.06651,1.28668,0.95324,0.00995347,0.00995347,0.00995347
49,3294.11,2.28672,1.3517,0.96131,0.64172,0.27012,0.26917,0.11831,2.06568,1.28476,0.95203,0.00995248,0.00995248,0.00995248
50,3361.57,2.29522,1.36587,0.96466,0.64559,0.26687,0.27093,0.11952,2.0613,1.2844,0.9515,0.00995149,0.00995149,0.00995149
51,3426.86,2.28379,1.34517,0.96101,0.63553,0.27909,0.27445,0.11768,2.05908,1.2742,0.94962,0.0099505,0.0099505,0.0099505
52,3492.86,2.27662,1.34601,0.96227,0.63629,0.27593,0.273,0.11816,2.05344,1.27181,0.9489,0.00994951,0.00994951,0.00994951
53,3558.97,2.28505,1.35922,0.96375,0.65705,0.27506,0.27622,0.12192,2.05049,1.27348,0.94867,0.00994852,0.00994852,0.00994852
54,3625.58,2.27776,1.33222,0.96084,0.6718,0.28085,0.28124,0.12159,2.05083,1.27,0.94774,0.00994753,0.00994753,0.00994753
55,3690.75,2.28306,1.34561,0.96176,0.65954,0.28204,0.27956,0.12049,2.04649,1.26634,0.94805,0.00994654,0.00994654,0.00994654
56,3756.54,2.27028,1.34067,0.96098,0.64765,0.29045,0.28153,0.12185,2.04778,1.26791,0.948,0.00994555,0.00994555,0.00994555
57,3822.28,2.26839,1.3339,0.9591,0.66522,0.29062,0.28783,0.12364,2.04366,1.25998,0.94682,0.00994456,0.00994456,0.00994456
58,3888.77,2.26968,1.33572,0.95878,0.68393,0.28902,0.28866,0.1255,2.04295,1.25832,0.94587,0.00994357,0.00994357,0.00994357
59,3955.14,2.26144,1.32784,0.96046,0.64681,0.29423,0.28565,0.12507,2.03958,1.2524,0.94616,0.00994258,0.00994258,0.00994258
